,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,StoreId,IsHoliday
0,1643690.9,42.31,2.572,211.0963582,8.106,c4ca4238a0b923820dcc509a6f75849b,0
1,1641957.44,38.51,2.548,211.2421698,8.106,c4ca4238a0b923820dcc509a6f75849b,1
2,1611968.17,39.93,2.514,211.2891429,8.106,c4ca4238a0b923820dcc509a6f75849b,0
3,1409727.59,46.63,2.561,211.3196429,8.106,c4ca4238a0b923820dcc509a6f75849b,0
4,1554806.68,46.5,2.625,211.3501429,8.106,c4ca4238a0b923820dcc509a6f75849b,0
5,1439541.59,57.79,2.667,211.3806429,8.106,c4ca4238a0b923820dcc509a6f75849b,0
6,1472515.79,54.58,2.72,211.215635,8.106,c4ca4238a0b923820dcc509a6f75849b,0
7,1404429.92,51.45,2.732,211.0180424,8.106,c4ca4238a0b923820dcc509a6f75849b,0
8,1594968.28,62.27,2.719,210.8204499,7.808,c4ca4238a0b923820dcc509a6f75849b,0
9,1545418.53,65.86,2.77,210.6228574,7.808,c4ca4238a0b923820dcc509a6f75849b,0
10,1466058.28,66.32,2.808,210.4887,7.808,c4ca4238a0b923820dcc509a6f75849b,0
11,1391256.12,64.84,2.795,210.4391228,7.808,c4ca4238a0b923820dcc509a6f75849b,0
12,1425100.71,67.41,2.78,210.3895456,7.808,c4ca4238a0b923820dcc509a6f75849b,0
13,1603955.12,72.55,2.835,210.3399684,7.808,c4ca4238a0b923820dcc509a6f75849b,0
14,1494251.5,74.78,2.854,210.3374261,7.808,c4ca4238a0b923820dcc509a6f75849b,0
15,1399662.07,76.44,2.826,210.6170934,7.808,c4ca4238a0b923820dcc509a6f75849b,0
16,1432069.95,80.44,2.759,210.8967606,7.808,c4ca4238a0b923820dcc509a6f75849b,0
17,1615524.71,80.69,2.705,211.1764278,7.808,c4ca4238a0b923820dcc509a6f75849b,0
18,1542561.09,80.43,2.668,211.4560951,7.808,c4ca4238a0b923820dcc509a6f75849b,0
19,1503284.06,84.11,2.637,211.4537719,7.808,c4ca4238a0b923820dcc509a6f75849b,0
20,1422711.6,84.34,2.653,211.3386526,7.808,c4ca4238a0b923820dcc509a6f75849b,0
21,1492418.14,80.91,2.669,211.2235333,7.787,c4ca4238a0b923820dcc509a6f75849b,0
22,1546074.18,80.48,2.642,211.108414,7.787,c4ca4238a0b923820dcc509a6f75849b,0
23,1448938.92,83.15,2.623,211.1003854,7.787,c4ca4238a0b923820dcc509a6f75849b,0
24,1385065.2,83.36,2.608,211.2351443,7.787,c4ca4238a0b923820dcc509a6f75849b,0
25,1371986.6,81.84,2.64,211.3699032,7.787,c4ca4238a0b923820dcc509a6f75849b,0
26,1605491.78,87.16,2.627,211.5046621,7.787,c4ca4238a0b923820dcc509a6f75849b,0
27,1508237.76,87.0,2.692,211.6394211,7.787,c4ca4238a0b923820dcc509a6f75849b,0
28,1513080.49,86.65,2.664,211.6033633,7.787,c4ca4238a0b923820dcc509a6f75849b,0
29,1449142.92,85.22,2.619,211.5673056,7.787,c4ca4238a0b923820dcc509a6f75849b,0
30,1540163.53,81.21,2.577,211.5312479,7.787,c4ca4238a0b923820dcc509a6f75849b,0
31,1507460.69,78.69,2.565,211.4951902,7.787,c4ca4238a0b923820dcc509a6f75849b,1
32,1430378.67,82.11,2.582,211.5224596,7.787,c4ca4238a0b923820dcc509a6f75849b,0
33,1351791.03,80.94,2.624,211.5972246,7.787,c4ca4238a0b923820dcc509a6f75849b,0
34,1453329.5,71.89,2.603,211.6719895,7.838,c4ca4238a0b923820dcc509a6f75849b,0
35,1508239.93,63.93,2.633,211.7467544,7.838,c4ca4238a0b923820dcc509a6f75849b,0
36,1459409.1,67.18,2.72,211.8137436,7.838,c4ca4238a0b923820dcc509a6f75849b,0
37,1345454.0,69.86,2.725,211.8612937,7.838,c4ca4238a0b923820dcc509a6f75849b,0
38,1384209.22,69.64,2.716,211.9088438,7.838,c4ca4238a0b923820dcc509a6f75849b,0
39,1551659.28,58.74,2.689,211.9563939,7.838,c4ca4238a0b923820dcc509a6f75849b,0
40,1494479.49,59.61,2.728,212.003944,7.838,c4ca4238a0b923820dcc509a6f75849b,0
41,1483784.18,51.41,2.771,211.8896737,7.838,c4ca4238a0b923820dcc509a6f75849b,0
42,1955624.11,64.52,2.735,211.7484333,7.838,c4ca4238a0b923820dcc509a6f75849b,1
43,1548033.78,49.27,2.708,211.607193,7.838,c4ca4238a0b923820dcc509a6f75849b,0
44,1682614.26,46.33,2.843,211.4659526,7.838,c4ca4238a0b923820dcc509a6f75849b,0
45,1891034.93,49.84,2.869,211.4053124,7.838,c4ca4238a0b923820dcc509a6f75849b,0
46,2387950.2,52.33,2.886,211.4051222,7.838,c4ca4238a0b923820dcc509a6f75849b,0
47,1367320.01,48.43,2.943,211.4049321,7.838,c4ca4238a0b923820dcc509a6f75849b,1
48,1444732.28,48.27,2.976,211.4047419,7.742,c4ca4238a0b923820dcc509a6f75849b,0
49,1391013.96,35.4,2.983,211.4574109,7.742,c4ca4238a0b923820dcc509a6f75849b,0
50,1327405.42,44.04,3.016,211.8272343,7.742,c4ca4238a0b923820dcc509a6f75849b,0
51,1316899.31,43.83,3.01,212.1970577,7.742,c4ca4238a0b923820dcc509a6f75849b,0
52,1606629.58,42.27,2.989,212.5668812,7.742,c4ca4238a0b923820dcc509a6f75849b,0
53,1649614.93,36.39,3.022,212.9367046,7.742,c4ca4238a0b923820dcc509a6f75849b,1
54,1686842.78,57.36,3.045,213.2478853,7.742,c4ca4238a0b923820dcc509a6f75849b,0
55,1456800.28,62.9,3.065,213.535609,7.742,c4ca4238a0b923820dcc509a6f75849b,0
56,1636263.41,59.58,3.288,213.8233327,7.742,c4ca4238a0b923820dcc509a6f75849b,0
57,1553191.63,53.56,3.459,214.1110564,7.742,c4ca4238a0b923820dcc509a6f75849b,0
58,1576818.06,62.76,3.488,214.3627114,7.742,c4ca4238a0b923820dcc509a6f75849b,0
59,1541102.38,69.97,3.473,214.5999389,7.742,c4ca4238a0b923820dcc509a6f75849b,0
60,1495064.75,59.17,3.524,214.8371664,7.682,c4ca4238a0b923820dcc509a6f75849b,0
61,1614259.35,67.84,3.622,215.0743939,7.682,c4ca4238a0b923820dcc509a6f75849b,0
62,1559889.0,71.27,3.743,215.2918561,7.682,c4ca4238a0b923820dcc509a6f75849b,0
63,1564819.81,72.99,3.807,215.4599053,7.682,c4ca4238a0b923820dcc509a6f75849b,0
64,1455090.69,72.03,3.81,215.6279544,7.682,c4ca4238a0b923820dcc509a6f75849b,0
65,1629391.28,64.61,3.906,215.7960035,7.682,c4ca4238a0b923820dcc509a6f75849b,0
66,1604775.58,75.64,3.899,215.9640526,7.682,c4ca4238a0b923820dcc509a6f75849b,0
67,1428218.27,67.63,3.907,215.7339202,7.682,c4ca4238a0b923820dcc509a6f75849b,0
68,1466046.67,77.72,3.786,215.5037878,7.682,c4ca4238a0b923820dcc509a6f75849b,0
69,1635078.41,83.0,3.699,215.2736553,7.682,c4ca4238a0b923820dcc509a6f75849b,0
70,1588948.32,83.13,3.648,215.0435229,7.682,c4ca4238a0b923820dcc509a6f75849b,0
71,1532114.86,86.41,3.637,214.9980596,7.682,c4ca4238a0b923820dcc509a6f75849b,0
72,1438830.15,83.58,3.594,215.0910982,7.682,c4ca4238a0b923820dcc509a6f75849b,0
73,1488538.09,85.55,3.524,215.1841368,7.962,c4ca4238a0b923820dcc509a6f75849b,0
74,1534849.64,85.83,3.48,215.2771754,7.962,c4ca4238a0b923820dcc509a6f75849b,0
75,1455119.97,88.54,3.575,215.3611087,7.962,c4ca4238a0b923820dcc509a6f75849b,0
76,1396926.82,85.77,3.651,215.4222784,7.962,c4ca4238a0b923820dcc509a6f75849b,0
77,1352219.79,86.83,3.682,215.4834482,7.962,c4ca4238a0b923820dcc509a6f75849b,0
78,1624383.75,91.65,3.684,215.544618,7.962,c4ca4238a0b923820dcc509a6f75849b,0
79,1525147.09,90.76,3.638,215.6057878,7.962,c4ca4238a0b923820dcc509a6f75849b,0
80,1530761.43,89.94,3.554,215.6693107,7.962,c4ca4238a0b923820dcc509a6f75849b,0
81,1464693.46,87.96,3.523,215.7332258,7.962,c4ca4238a0b923820dcc509a6f75849b,0
82,1550229.22,87.83,3.533,215.7971409,7.962,c4ca4238a0b923820dcc509a6f75849b,0
83,1540471.24,76.0,3.546,215.861056,7.962,c4ca4238a0b923820dcc509a6f75849b,1
84,1514259.78,79.94,3.526,216.0410526,7.962,c4ca4238a0b923820dcc509a6f75849b,0
85,1380020.27,75.8,3.467,216.3758246,7.962,c4ca4238a0b923820dcc509a6f75849b,0
86,1394561.83,79.69,3.355,216.7105965,7.962,c4ca4238a0b923820dcc509a6f75849b,0
87,1630989.95,69.31,3.285,217.0453684,7.866,c4ca4238a0b923820dcc509a6f75849b,0
88,1493525.93,71.74,3.274,217.3552733,7.866,c4ca4238a0b923820dcc509a6f75849b,0
89,1502562.78,63.71,3.353,217.5159762,7.866,c4ca4238a0b923820dcc509a6f75849b,0
90,1445249.09,66.57,3.372,217.6766791,7.866,c4ca4238a0b923820dcc509a6f75849b,0
91,1697229.58,54.98,3.332,217.837382,7.866,c4ca4238a0b923820dcc509a6f75849b,0
92,1594938.89,59.11,3.297,217.9980849,7.866,c4ca4238a0b923820dcc509a6f75849b,0
93,1539483.7,62.25,3.308,218.2205088,7.866,c4ca4238a0b923820dcc509a6f75849b,0
94,2033320.66,60.14,3.236,218.4676211,7.866,c4ca4238a0b923820dcc509a6f75849b,1
95,1584083.95,48.91,3.172,218.7147333,7.866,c4ca4238a0b923820dcc509a6f75849b,0
96,1799682.38,43.93,3.158,218.9618456,7.866,c4ca4238a0b923820dcc509a6f75849b,0
97,1881176.67,51.63,3.159,219.1794533,7.866,c4ca4238a0b923820dcc509a6f75849b,0
98,2270188.99,47.96,3.112,219.3577216,7.866,c4ca4238a0b923820dcc509a6f75849b,0
99,1497462.72,44.55,3.129,219.5359898,7.866,c4ca4238a0b923820dcc509a6f75849b,1
100,1550369.92,49.01,3.157,219.7142581,7.348,c4ca4238a0b923820dcc509a6f75849b,0
101,1459601.17,48.53,3.261,219.8925263,7.348,c4ca4238a0b923820dcc509a6f75849b,0
102,1394393.84,54.11,3.268,219.9856893,7.348,c4ca4238a0b923820dcc509a6f75849b,0
103,1319325.59,54.26,3.29,220.0788523,7.348,c4ca4238a0b923820dcc509a6f75849b,0
104,1636339.65,56.55,3.36,220.1720153,7.348,c4ca4238a0b923820dcc509a6f75849b,0
105,1802477.43,48.02,3.409,220.2651783,7.348,c4ca4238a0b923820dcc509a6f75849b,1
106,1819870.0,45.32,3.51,220.4257586,7.348,c4ca4238a0b923820dcc509a6f75849b,0
107,1539387.83,57.25,3.555,220.636902,7.348,c4ca4238a0b923820dcc509a6f75849b,0
108,1688420.76,60.96,3.63,220.8480454,7.348,c4ca4238a0b923820dcc509a6f75849b,0
109,1675431.16,58.76,3.669,221.0591887,7.348,c4ca4238a0b923820dcc509a6f75849b,0
110,1677472.78,64.74,3.734,221.2118132,7.348,c4ca4238a0b923820dcc509a6f75849b,0
111,1511068.07,65.93,3.787,221.2864126,7.348,c4ca4238a0b923820dcc509a6f75849b,0
112,1649604.63,67.61,3.845,221.3610119,7.348,c4ca4238a0b923820dcc509a6f75849b,0
113,1899676.88,70.43,3.891,221.4356112,7.143,c4ca4238a0b923820dcc509a6f75849b,0
114,1621031.7,69.07,3.891,221.5102105,7.143,c4ca4238a0b923820dcc509a6f75849b,0
115,1521577.87,66.76,3.877,221.5640737,7.143,c4ca4238a0b923820dcc509a6f75849b,0
116,1468928.37,67.23,3.814,221.6179368,7.143,c4ca4238a0b923820dcc509a6f75849b,0
117,1684519.99,75.55,3.749,221.6718,7.143,c4ca4238a0b923820dcc509a6f75849b,0
118,1611096.05,73.77,3.688,221.7256632,7.143,c4ca4238a0b923820dcc509a6f75849b,0
119,1595901.87,70.33,3.63,221.742674,7.143,c4ca4238a0b923820dcc509a6f75849b,0
120,1555444.55,77.22,3.561,221.744944,7.143,c4ca4238a0b923820dcc509a6f75849b,0
121,1624477.58,77.95,3.501,221.7472139,7.143,c4ca4238a0b923820dcc509a6f75849b,0
122,1697230.96,78.3,3.452,221.7494839,7.143,c4ca4238a0b923820dcc509a6f75849b,0
123,1630607.0,79.35,3.393,221.7626421,7.143,c4ca4238a0b923820dcc509a6f75849b,0
124,1527845.81,78.39,3.346,221.8030211,7.143,c4ca4238a0b923820dcc509a6f75849b,0
125,1540421.49,84.88,3.286,221.8434,7.143,c4ca4238a0b923820dcc509a6f75849b,0
126,1769854.16,81.57,3.227,221.8837789,6.908,c4ca4238a0b923820dcc509a6f75849b,0
127,1527014.04,77.12,3.256,221.9241579,6.908,c4ca4238a0b923820dcc509a6f75849b,0
128,1497954.76,80.42,3.311,221.9327267,6.908,c4ca4238a0b923820dcc509a6f75849b,0
129,1439123.71,82.66,3.407,221.9412954,6.908,c4ca4238a0b923820dcc509a6f75849b,0
130,1631135.79,86.11,3.417,221.9498642,6.908,c4ca4238a0b923820dcc509a6f75849b,0
131,1592409.97,85.05,3.494,221.9584329,6.908,c4ca4238a0b923820dcc509a6f75849b,0
132,1597868.05,84.85,3.571,222.0384109,6.908,c4ca4238a0b923820dcc509a6f75849b,0
133,1494122.38,77.66,3.62,222.1719457,6.908,c4ca4238a0b923820dcc509a6f75849b,0
134,1582083.4,80.49,3.638,222.3054805,6.908,c4ca4238a0b923820dcc509a6f75849b,0
135,1661767.33,83.96,3.73,222.4390153,6.908,c4ca4238a0b923820dcc509a6f75849b,1
136,1517428.87,74.97,3.717,222.5820193,6.908,c4ca4238a0b923820dcc509a6f75849b,0
137,1506126.06,69.87,3.721,222.7818386,6.908,c4ca4238a0b923820dcc509a6f75849b,0
138,1437059.26,76.08,3.666,222.9816579,6.908,c4ca4238a0b923820dcc509a6f75849b,0
139,1670785.97,68.55,3.617,223.1814772,6.573,c4ca4238a0b923820dcc509a6f75849b,0
140,1573072.81,62.99,3.601,223.3812965,6.573,c4ca4238a0b923820dcc509a6f75849b,0
141,1508068.77,67.97,3.594,223.4257233,6.573,c4ca4238a0b923820dcc509a6f75849b,0
142,1493659.74,69.16,3.506,223.4442513,6.573,c4ca4238a0b923820dcc509a6f75849b,0
143,2136989.46,40.19,2.572,210.7526053,8.324,c81e728d9d4c2f636f067f89cc14862c,0
144,2137809.5,38.49,2.548,210.8979935,8.324,c81e728d9d4c2f636f067f89cc14862c,1
145,2124451.54,39.69,2.514,210.9451605,8.324,c81e728d9d4c2f636f067f89cc14862c,0
146,1865097.27,46.1,2.561,210.9759573,8.324,c81e728d9d4c2f636f067f89cc14862c,0
147,1991013.13,47.17,2.625,211.0067542,8.324,c81e728d9d4c2f636f067f89cc14862c,0
148,1990483.78,57.56,2.667,211.037551,8.324,c81e728d9d4c2f636f067f89cc14862c,0
149,1946070.88,54.52,2.72,210.8733316,8.324,c81e728d9d4c2f636f067f89cc14862c,0
150,1750197.81,51.26,2.732,210.6766095,8.324,c81e728d9d4c2f636f067f89cc14862c,0
151,2066187.72,63.27,2.719,210.4798874,8.2,c81e728d9d4c2f636f067f89cc14862c,0
152,1954689.21,65.41,2.77,210.2831653,8.2,c81e728d9d4c2f636f067f89cc14862c,0
153,1874957.94,68.07,2.808,210.1495463,8.2,c81e728d9d4c2f636f067f89cc14862c,0
154,1821990.93,65.11,2.795,210.1000648,8.2,c81e728d9d4c2f636f067f89cc14862c,0
155,1802450.29,66.98,2.78,210.0505833,8.2,c81e728d9d4c2f636f067f89cc14862c,0
156,2042581.71,71.28,2.835,210.0011018,8.2,c81e728d9d4c2f636f067f89cc14862c,0
157,1880752.36,73.31,2.854,209.9984585,8.2,c81e728d9d4c2f636f067f89cc14862c,0
158,1896937.1,74.83,2.826,210.2768443,8.2,c81e728d9d4c2f636f067f89cc14862c,0
159,1957113.89,81.13,2.759,210.5552301,8.2,c81e728d9d4c2f636f067f89cc14862c,0
160,2102539.93,81.81,2.705,210.833616,8.2,c81e728d9d4c2f636f067f89cc14862c,0
161,2025538.76,83.4,2.668,211.1120018,8.2,c81e728d9d4c2f636f067f89cc14862c,0
162,2001636.96,85.81,2.637,211.1096543,8.2,c81e728d9d4c2f636f067f89cc14862c,0
163,1939927.09,86.26,2.653,210.9950134,8.2,c81e728d9d4c2f636f067f89cc14862c,0
164,2003940.64,82.74,2.669,210.8803726,8.099,c81e728d9d4c2f636f067f89cc14862c,0
165,1880902.62,82.59,2.642,210.7657317,8.099,c81e728d9d4c2f636f067f89cc14862c,0
166,1845879.79,85.32,2.623,210.7577954,8.099,c81e728d9d4c2f636f067f89cc14862c,0
167,1781717.71,87.66,2.608,210.8921319,8.099,c81e728d9d4c2f636f067f89cc14862c,0
168,1804246.16,83.49,2.64,211.0264684,8.099,c81e728d9d4c2f636f067f89cc14862c,0
169,1991909.98,89.53,2.627,211.1608049,8.099,c81e728d9d4c2f636f067f89cc14862c,0
170,1895601.05,89.05,2.692,211.2951413,8.099,c81e728d9d4c2f636f067f89cc14862c,0
171,1964335.23,88.7,2.664,211.2596586,8.099,c81e728d9d4c2f636f067f89cc14862c,0
172,1863840.49,87.12,2.619,211.2241759,8.099,c81e728d9d4c2f636f067f89cc14862c,0
173,1904608.09,81.83,2.577,211.1886931,8.099,c81e728d9d4c2f636f067f89cc14862c,0
174,1839128.83,79.09,2.565,211.1532104,8.099,c81e728d9d4c2f636f067f89cc14862c,1
175,1793903.6,82.05,2.582,211.1806415,8.099,c81e728d9d4c2f636f067f89cc14862c,0
176,1724557.22,81.79,2.624,211.2552578,8.099,c81e728d9d4c2f636f067f89cc14862c,0
177,1827440.43,69.24,2.603,211.3298742,8.163,c81e728d9d4c2f636f067f89cc14862c,0
178,1849921.44,63.19,2.633,211.4044906,8.163,c81e728d9d4c2f636f067f89cc14862c,0
179,1794355.49,65.8,2.72,211.4713286,8.163,c81e728d9d4c2f636f067f89cc14862c,0
180,1737947.64,68.5,2.725,211.5187208,8.163,c81e728d9d4c2f636f067f89cc14862c,0
181,1802755.11,66.24,2.716,211.5661131,8.163,c81e728d9d4c2f636f067f89cc14862c,0
182,1939061.41,57.85,2.689,211.6135053,8.163,c81e728d9d4c2f636f067f89cc14862c,0
183,1916812.74,59.69,2.728,211.6608975,8.163,c81e728d9d4c2f636f067f89cc14862c,0
184,1956739.17,50.81,2.771,211.5470304,8.163,c81e728d9d4c2f636f067f89cc14862c,0
185,2658725.29,62.98,2.735,211.4062867,8.163,c81e728d9d4c2f636f067f89cc14862c,1
186,2015781.27,49.33,2.708,211.265543,8.163,c81e728d9d4c2f636f067f89cc14862c,0
187,2378726.55,45.5,2.843,211.1247993,8.163,c81e728d9d4c2f636f067f89cc14862c,0
188,2609166.75,47.55,2.869,211.0645458,8.163,c81e728d9d4c2f636f067f89cc14862c,0
189,3436007.68,49.97,2.886,211.0646599,8.163,c81e728d9d4c2f636f067f89cc14862c,0
190,1750434.55,47.3,2.943,211.064774,8.163,c81e728d9d4c2f636f067f89cc14862c,1
191,1758050.79,44.69,2.976,211.0648881,8.028,c81e728d9d4c2f636f067f89cc14862c,0
192,1744193.58,33.02,2.983,211.1176713,8.028,c81e728d9d4c2f636f067f89cc14862c,0
193,1751384.9,41.4,3.016,211.4864691,8.028,c81e728d9d4c2f636f067f89cc14862c,0
194,1695371.68,42.83,3.01,211.8552668,8.028,c81e728d9d4c2f636f067f89cc14862c,0
195,1929346.23,38.25,2.989,212.2240646,8.028,c81e728d9d4c2f636f067f89cc14862c,0
196,2168041.61,33.19,3.022,212.5928624,8.028,c81e728d9d4c2f636f067f89cc14862c,1
197,2080884.82,57.83,3.045,212.9033115,8.028,c81e728d9d4c2f636f067f89cc14862c,0
198,1833511.08,60.8,3.065,213.190421,8.028,c81e728d9d4c2f636f067f89cc14862c,0
199,1981607.78,57.77,3.288,213.4775305,8.028,c81e728d9d4c2f636f067f89cc14862c,0
200,1879107.31,52.7,3.459,213.7646401,8.028,c81e728d9d4c2f636f067f89cc14862c,0
201,1902557.66,62.32,3.488,214.0156238,8.028,c81e728d9d4c2f636f067f89cc14862c,0
202,1766162.05,69.42,3.473,214.2521573,8.028,c81e728d9d4c2f636f067f89cc14862c,0
203,1800171.36,55.43,3.524,214.4886908,7.931,c81e728d9d4c2f636f067f89cc14862c,0
204,1847552.61,67.0,3.622,214.7252242,7.931,c81e728d9d4c2f636f067f89cc14862c,0
205,1856467.84,69.48,3.743,214.9420631,7.931,c81e728d9d4c2f636f067f89cc14862c,0
206,1886339.6,69.39,3.807,215.1096657,7.931,c81e728d9d4c2f636f067f89cc14862c,0
207,1745545.28,69.21,3.81,215.2772683,7.931,c81e728d9d4c2f636f067f89cc14862c,0
208,1837743.6,61.48,3.906,215.4448709,7.931,c81e728d9d4c2f636f067f89cc14862c,0
209,1838513.07,74.61,3.899,215.6124735,7.931,c81e728d9d4c2f636f067f89cc14862c,0
210,1688281.86,67.14,3.907,215.3834778,7.931,c81e728d9d4c2f636f067f89cc14862c,0
211,1797732.56,76.42,3.786,215.1544822,7.931,c81e728d9d4c2f636f067f89cc14862c,0
212,1933756.21,83.07,3.699,214.9254865,7.931,c81e728d9d4c2f636f067f89cc14862c,0
213,1929153.16,83.4,3.648,214.6964908,7.931,c81e728d9d4c2f636f067f89cc14862c,0
214,1953771.99,86.53,3.637,214.6513538,7.931,c81e728d9d4c2f636f067f89cc14862c,0
215,1790925.8,85.17,3.594,214.7441108,7.931,c81e728d9d4c2f636f067f89cc14862c,0
216,1866243.0,85.69,3.524,214.8368678,7.852,c81e728d9d4c2f636f067f89cc14862c,0
217,1853161.99,87.7,3.48,214.9296249,7.852,c81e728d9d4c2f636f067f89cc14862c,0
